Time,Bnft_Vega_Pnl,Bnft_Vega,Nifty_Vega_Pnl,Nifty_Vega,Bnft_Delta_Pnl,Bnft_Delta,Nifty_Delta_Pnl,Nifty_Delta,Bnft_Theta_Pnl,Bnft_Theta,Nifty_Theta_Pnl,Nifty_Theta,Total_Bnft_Pnl,Total_Nifty_Pnl,Mean,Indicator,Beta,Regression_Error,Theo_Margin,Actual_Margin,Bnft_Slippage,Nifty_Slippage,Theo_P_Bnft,Actual_P_Bnft,Theo_C_Bnft,Actual_C_Bnft,Theo_P_Nifty,Actual_P_Nifty,Theo_C_Nifty,Actual_C_Nifty
12:38:00.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.333777,0.232444,0.622064,0.546769,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:38:30.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.33353,0.119216,0.622082,0.546224,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:39:00.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.333235,0.0913706,0.622098,0.545676,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:39:30.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.332746,0.16774,0.622108,0.545047,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:40:00.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.332608,0.187303,0.622129,0.544569,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:40:30.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.332523,0.175693,0.622152,0.544126,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:41:00.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.332078,0.0394434,0.622163,0.543519,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:41:30.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.331689,0.256315,0.622176,0.542945,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:42:00.0,118738,0,-466.601,0,4253.79,0,-2694.13,0,-43211.4,0,45254.3,0,75735,39234.1,0.331334,0.228509,0.62219,0.542368,0,3.66343e+07,-7288.75,-3980.62,0,0,0,0,0,0,0,0
12:42:30.0,120350,1.65455e+06,1691.87,-1.70766e+06,4329.41,-2.74998,-2566.35,-1758.75,-43686.7,-2.80102e+06,45561.5,1.87522e+06,75490.4,41126.2,0.333549,1.07593,0.622283,0.545111,4.01041e+07,1.56564e+07,-7841.88,-3532.5,133,133,165,165,-227,-105,-139,-135
